N (kg/ha),P(kg/ha),K(kg/ha),pH,Humidity(%),Temperature(°C),Rainfall(mm),Crop Yield(kg/ha),District,Soil Type,Crop Name
57,30,47,7.3,66,31,1700,935,Birbhum,Red & Laterite Soil,Groundnut
46,22,36,6.5,69,27,1475,840,Birbhum,Red & Laterite Soil,Groundnut
51,26,41,6.8,68,28,1625,890,Birbhum,Red & Laterite Soil,Groundnut
44,21,34,6.4,71,26,1450,795,Birbhum,Red & Laterite Soil,Groundnut
49,25,39,6.7,70,27,1575,850,Birbhum,Red & Laterite Soil,Groundnut
56,29,46,7.2,67,31,1650,930,Birbhum,Red & Laterite Soil,Groundnut
47,23,37,6.6,68,29,1475,830,Birbhum,Red & Laterite Soil,Groundnut
52,27,42,6.9,67,30,1625,880,Birbhum,Red & Laterite Soil,Groundnut
45,22,35,6.4,70,26,1450,795,Birbhum,Red & Laterite Soil,Groundnut
50,25,40,6.7,69,27,1575,855,Birbhum,Red & Laterite Soil,Groundnut
57,30,47,7.3,66,32,1700,940,Birbhum,Red & Laterite Soil,Groundnut
46,22,36,6.5,69,28,1475,845,Birbhum,Red & Laterite Soil,Groundnut
51,26,41,6.8,68,29,1625,895,Birbhum,Red & Laterite Soil,Groundnut
44,21,34,6.4,71,27,1450,800,Birbhum,Red & Laterite Soil,Groundnut
49,25,39,6.7,70,28,1575,855,Birbhum,Red & Laterite Soil,Groundnut
56,29,46,7.2,67,32,1650,935,Birbhum,Red & Laterite Soil,Groundnut
47,23,37,6.6,68,30,1475,835,Birbhum,Red & Laterite Soil,Groundnut
52,27,42,6.9,67,31,1625,885,Birbhum,Red & Laterite Soil,Groundnut
98,52,71,5.7,78,25,1570,1950,Birbhum,Red & Laterite Soil,Rice
102,54,73,5.8,77,26,1600,2050,Birbhum,Red & Laterite Soil,Rice
96,49,69,5.6,79,24,1550,1900,Birbhum,Red & Laterite Soil,Rice
105,53,72,5.9,78,26,1600,2000,Birbhum,Red & Laterite Soil,Rice
108,56,74,6,76,27,1650,2100,Birbhum,Red & Laterite Soil,Rice
100,51,70,5.7,78,25,1580,1960,Birbhum,Red & Laterite Soil,Rice
103,55,73,5.9,77,26,1620,2070,Birbhum,Red & Laterite Soil,Rice
97,50,69,5.8,79,24,1560,1920,Birbhum,Red & Laterite Soil,Rice
106,54,72,6,78,25,1610,2010,Birbhum,Red & Laterite Soil,Rice
109,57,74,6.1,77,27,1660,2110,Birbhum,Red & Laterite Soil,Rice
101,52,71,5.8,78,26,1590,1970,Birbhum,Red & Laterite Soil,Rice
104,56,73,6,77,27,1630,2080,Birbhum,Red & Laterite Soil,Rice
98,51,70,5.7,79,25,1580,1930,Birbhum,Red & Laterite Soil,Rice
107,55,72,6,78,26,1620,2020,Birbhum,Red & Laterite Soil,Rice
110,58,75,6.1,76,28,1670,2120,Birbhum,Red & Laterite Soil,Rice
102,53,71,5.8,78,26,1590,1980,Birbhum,Red & Laterite Soil,Rice
105,57,73,6,77,27,1640,2090,Birbhum,Red & Laterite Soil,Rice
99,52,70,5.7,79,25,1590,1940,Birbhum,Red & Laterite Soil,Rice
108,56,72,6,78,26,1630,2030,Birbhum,Red & Laterite Soil,Rice
111,59,75,6.2,76,28,1680,2130,Birbhum,Red & Laterite Soil,Rice
103,54,71,5.8,78,26,1600,1990,Birbhum,Red & Laterite Soil,Rice
106,58,73,6.1,77,27,1650,2100,Birbhum,Red & Laterite Soil,Rice
100,53,70,5.8,79,25,1600,1950,Birbhum,Red & Laterite Soil,Rice
109,57,72,6.1,78,26,1640,2040,Birbhum,Red & Laterite Soil,Rice
112,60,75,6.2,76,28,1690,2140,Birbhum,Red & Laterite Soil,Rice
104,55,71,5.9,78,26,1610,2000,Birbhum,Red & Laterite Soil,Rice
107,59,73,6.1,77,27,1660,2110,Birbhum,Red & Laterite Soil,Rice
101,54,70,5.8,79,25,1610,1960,Birbhum,Red & Laterite Soil,Rice
110,58,72,6.1,78,26,1650,2050,Birbhum,Red & Laterite Soil,Rice
113,61,75,6.3,76,28,1700,2150,Birbhum,Red & Laterite Soil,Rice
105,56,71,5.9,78,26,1620,2010,Birbhum,Red & Laterite Soil,Rice
108,60,73,6.2,77,27,1670,2120,Birbhum,Red & Laterite Soil,Rice
102,55,70,5.8,79,25,1620,1970,Birbhum,Red & Laterite Soil,Rice
111,59,72,6.1,78,26,1660,2060,Birbhum,Red & Laterite Soil,Rice
114,62,76,6.4,76,28,1710,2160,Birbhum,Red & Laterite Soil,Rice
106,57,71,5.9,78,26,1630,2020,Birbhum,Red & Laterite Soil,Rice
109,61,73,6.2,77,27,1680,2130,Birbhum,Red & Laterite Soil,Rice
103,56,70,5.9,79,25,1630,1980,Birbhum,Red & Laterite Soil,Rice
112,60,72,6.1,78,26,1670,2070,Birbhum,Red & Laterite Soil,Rice
115,63,76,6.5,76,28,1720,2170,Birbhum,Red & Laterite Soil,Rice
107,58,71,5.9,78,26,1640,2030,Birbhum,Red & Laterite Soil,Rice
110,62,73,6.2,77,27,1690,2140,Birbhum,Red & Laterite Soil,Rice
104,57,70,5.9,79,25,1640,1990,Birbhum,Red & Laterite Soil,Rice
113,61,72,6.1,78,26,1680,2080,Birbhum,Red & Laterite Soil,Rice
116,64,77,6.6,76,28,1730,2180,Birbhum,Red & Laterite Soil,Rice
108,59,71,6,78,26,1650,2040,Birbhum,Red & Laterite Soil,Rice
111,63,73,6.3,77,27,1700,2150,Birbhum,Red & Laterite Soil,Rice
105,58,70,6,79,25,1650,2000,Birbhum,Red & Laterite Soil,Rice
114,62,72,6.2,78,26,1690,2090,Birbhum,Red & Laterite Soil,Rice
117,65,77,6.7,76,28,1740,2190,Birbhum,Red & Laterite Soil,Rice
109,60,71,6,78,26,1660,2050,Birbhum,Red & Laterite Soil,Rice
112,64,73,6.3,77,27,1710,2160,Birbhum,Red & Laterite Soil,Rice
106,59,70,6,79,25,1660,2010,Birbhum,Red & Laterite Soil,Rice
115,63,71,6.2,78,26,1700,2100,Birbhum,Red & Laterite Soil,Rice
118,66,77,6.8,76,28,1750,2200,Birbhum,Red & Laterite Soil,Rice
41,21,31,5.6,83,26,1790,510,Kalimpong,Mountainous Soil,Ginger
37,17,27,5.5,81,25,1810,460,Kalimpong,Mountainous Soil,Ginger
43,23,33,5.7,86,27,1770,570,Kalimpong,Mountainous Soil,Ginger
36,15,24,5.4,88,24,1760,410,Kalimpong,Mountainous Soil,Ginger
46,25,36,5.8,84,28,1830,610,Kalimpong,Mountainous Soil,Ginger
39,19,29,5.5,82,25,1785,505,Kalimpong,Mountainous Soil,Ginger
44,24,34,5.6,85,26,1765,555,Kalimpong,Mountainous Soil,Ginger
38,18,28,5.4,80,24,1805,455,Kalimpong,Mountainous Soil,Ginger
42,22,32,5.6,85,26,1765,555,Kalimpong,Mountainous Soil,Ginger
35,16,25,5.3,87,23,1755,405,Kalimpong,Mountainous Soil,Ginger
47,26,37,5.9,83,27,1825,605,Kalimpong,Mountainous Soil,Ginger
40,20,30,5.5,82,25,1785,505,Kalimpong,Mountainous Soil,Ginger
45,25,35,5.7,84,28,1835,605,Kalimpong,Mountainous Soil,Ginger
39,19,29,5.5,82,25,1785,505,Kalimpong,Mountainous Soil,Ginger
43,23,33,5.7,86,27,1775,575,Kalimpong,Mountainous Soil,Ginger
37,17,27,5.4,81,25,1815,465,Kalimpong,Mountainous Soil,Ginger
41,21,31,5.6,83,26,1795,515,Kalimpong,Mountainous Soil,Ginger
46,26,36,5.8,84,28,1835,615,Kalimpong,Mountainous Soil,Ginger
38,18,28,5.4,80,24,1805,455,Kalimpong,Mountainous Soil,Ginger
42,22,32,5.6,85,26,1765,555,Kalimpong,Mountainous Soil,Ginger
35,16,25,5.3,87,23,1755,405,Kalimpong,Mountainous Soil,Ginger
47,27,37,5.9,83,27,1825,605,Kalimpong,Mountainous Soil,Ginger
40,20,30,5.5,82,25,1785,505,Kalimpong,Mountainous Soil,Ginger
45,25,35,5.7,84,28,1835,605,Kalimpong,Mountainous Soil,Ginger
39,19,29,5.5,82,25,1785,505,Kalimpong,Mountainous Soil,Ginger
43,23,33,5.7,86,27,1775,575,Kalimpong,Mountainous Soil,Ginger
37,17,27,5.4,81,25,1815,465,Kalimpong,Mountainous Soil,Ginger
41,21,31,5.6,83,26,1795,515,Kalimpong,Mountainous Soil,Ginger
46,26,36,5.8,84,28,1835,615,Kalimpong,Mountainous Soil,Ginger
38,18,28,5.4,80,24,1805,455,Kalimpong,Mountainous Soil,Ginger
42,22,32,5.6,85,26,1765,555,Kalimpong,Mountainous Soil,Ginger
35,16,25,5.3,87,23,1755,405,Kalimpong,Mountainous Soil,Ginger
47,27,37,5.9,83,27,1825,605,Kalimpong,Mountainous Soil,Ginger
40,20,30,5.5,82,25,1785,505,Kalimpong,Mountainous Soil,Ginger
45,25,35,5.7,84,28,1835,605,Kalimpong,Mountainous Soil,Ginger
39,19,29,5.5,82,25,1785,505,Kalimpong,Mountainous Soil,Ginger
43,23,33,5.7,86,27,1775,575,Kalimpong,Mountainous Soil,Ginger
37,17,27,5.4,81,25,1815,465,Kalimpong,Mountainous Soil,Ginger
41,21,31,5.6,83,26,1795,515,Kalimpong,Mountainous Soil,Ginger
46,26,36,5.8,84,28,1835,615,Kalimpong,Mountainous Soil,Ginger
38,18,28,5.4,80,24,1805,455,Kalimpong,Mountainous Soil,Ginger
42,22,32,5.6,85,26,1765,555,Kalimpong,Mountainous Soil,Ginger
35,16,25,5.3,87,23,1755,405,Kalimpong,Mountainous Soil,Ginger
47,27,37,5.9,83,27,1825,605,Kalimpong,Mountainous Soil,Ginger
26,14,20,5.6,84,25,1785,375,Kalimpong,Mountainous Soil,Orchids
23,11,17,5.5,81,24,1805,325,Kalimpong,Mountainous Soil,Orchids
29,15,21,5.7,86,26,1765,425,Kalimpong,Mountainous Soil,Orchids
21,9,16,5.4,88,23,1755,275,Kalimpong,Mountainous Soil,Orchids
31,17,23,5.8,84,27,1825,475,Kalimpong,Mountainous Soil,Orchids
27,13,19,5.6,83,25,1790,365,Kalimpong,Mountainous Soil,Orchids
24,10,18,5.5,80,24,1810,315,Kalimpong,Mountainous Soil,Orchids
30,16,22,5.7,85,26,1770,425,Kalimpong,Mountainous Soil,Orchids
22,8,16,5.4,87,23,1760,275,Kalimpong,Mountainous Soil,Orchids
32,18,24,5.9,83,27,1830,475,Kalimpong,Mountainous Soil,Orchids
26,14,20,5.6,84,25,1785,375,Kalimpong,Mountainous Soil,Orchids
23,11,17,5.5,81,24,1805,325,Kalimpong,Mountainous Soil,Orchids
29,15,21,5.7,86,26,1765,425,Kalimpong,Mountainous Soil,Orchids
21,9,16,5.4,88,23,1755,275,Kalimpong,Mountainous Soil,Orchids
31,17,23,5.8,84,27,1825,475,Kalimpong,Mountainous Soil,Orchids
27,13,19,5.6,83,25,1790,365,Kalimpong,Mountainous Soil,Orchids
24,10,18,5.5,80,24,1810,315,Kalimpong,Mountainous Soil,Orchids
30,16,22,5.7,85,26,1770,425,Kalimpong,Mountainous Soil,Orchids
22,8,16,5.4,87,23,1760,275,Kalimpong,Mountainous Soil,Orchids
32,18,24,5.9,83,27,1830,475,Kalimpong,Mountainous Soil,Orchids
26,14,20,5.6,84,25,1785,375,Kalimpong,Mountainous Soil,Orchids
23,11,17,5.5,81,24,1805,325,Kalimpong,Mountainous Soil,Orchids
29,15,21,5.7,86,26,1765,425,Kalimpong,Mountainous Soil,Orchids
21,9,16,5.4,88,23,1755,275,Kalimpong,Mountainous Soil,Orchids
31,17,23,5.8,84,27,1825,475,Kalimpong,Mountainous Soil,Orchids
27,13,19,5.6,83,25,1790,365,Kalimpong,Mountainous Soil,Orchids
24,10,18,5.5,80,24,1810,315,Kalimpong,Mountainous Soil,Orchids
30,16,22,5.7,85,26,1770,425,Kalimpong,Mountainous Soil,Orchids
22,8,16,5.4,87,23,1760,275,Kalimpong,Mountainous Soil,Orchids
32,18,24,5.9,83,27,1830,475,Kalimpong,Mountainous Soil,Orchids
26,14,20,5.6,84,25,1785,375,Kalimpong,Mountainous Soil,Orchids
23,11,17,5.5,81,24,1805,325,Kalimpong,Mountainous Soil,Orchids
29,15,21,5.7,86,26,1765,425,Kalimpong,Mountainous Soil,Orchids
21,9,16,5.4,88,23,1755,275,Kalimpong,Mountainous Soil,Orchids
31,17,23,5.8,84,27,1825,475,Kalimpong,Mountainous Soil,Orchids
27,13,19,5.6,83,25,1790,365,Kalimpong,Mountainous Soil,Orchids
24,10,18,5.5,80,24,1810,315,Kalimpong,Mountainous Soil,Orchids
30,16,22,5.7,85,26,1770,425,Kalimpong,Mountainous Soil,Orchids
22,8,16,5.4,87,23,1760,275,Kalimpong,Mountainous Soil,Orchids
32,18,24,5.9,83,27,1830,475,Kalimpong,Mountainous Soil,Orchids
26,14,20,5.6,84,25,1785,375,Kalimpong,Mountainous Soil,Orchids
23,11,17,5.5,81,24,1805,325,Kalimpong,Mountainous Soil,Orchids
29,15,21,5.7,86,26,1765,425,Kalimpong,Mountainous Soil,Orchids
21,9,16,5.4,88,23,1755,275,Kalimpong,Mountainous Soil,Orchids
31,17,23,5.8,84,27,1825,475,Kalimpong,Mountainous Soil,Orchids
27,13,19,5.6,83,25,1790,365,Kalimpong,Mountainous Soil,Orchids
24,10,18,5.5,80,24,1810,315,Kalimpong,Mountainous Soil,Orchids
30,16,22,5.7,85,26,1770,425,Kalimpong,Mountainous Soil,Orchids
22,8,16,5.4,87,23,1760,275,Kalimpong,Mountainous Soil,Orchids
32,18,24,5.9,83,27,1830,475,Kalimpong,Mountainous Soil,Orchids
30,15,25,5.5,82,25,1780,120,Kalimpong,Mountainous Soil,Strawberries
28,12,22,5.4,80,24,1800,100,Kalimpong,Mountainous Soil,Strawberries
32,18,28,5.6,85,26,1760,140,Kalimpong,Mountainous Soil,Strawberries
25,10,20,5.3,87,23,1750,80,Kalimpong,Mountainous Soil,Strawberries
35,20,30,5.7,83,27,1820,160,Kalimpong,Mountainous Soil,Strawberries
29,14,24,5.5,82,25,1785,125,Kalimpong,Mountainous Soil,Strawberries
27,11,21,5.4,80,24,1805,105,Kalimpong,Mountainous Soil,Strawberries
31,17,27,5.6,85,26,1765,145,Kalimpong,Mountainous Soil,Strawberries
24,9,19,5.3,87,23,1755,85,Kalimpong,Mountainous Soil,Strawberries
34,19,29,5.7,83,27,1825,165,Kalimpong,Mountainous Soil,Strawberries
30,15,25,5.5,82,25,1780,120,Kalimpong,Mountainous Soil,Strawberries
28,12,22,5.4,80,24,1800,100,Kalimpong,Mountainous Soil,Strawberries
32,18,28,5.6,85,26,1760,140,Kalimpong,Mountainous Soil,Strawberries
25,10,20,5.3,87,23,1750,80,Kalimpong,Mountainous Soil,Strawberries
35,20,30,5.7,83,27,1820,160,Kalimpong,Mountainous Soil,Strawberries
29,14,24,5.5,82,25,1785,125,Kalimpong,Mountainous Soil,Strawberries
27,11,21,5.4,80,24,1805,105,Kalimpong,Mountainous Soil,Strawberries
31,17,27,5.6,85,26,1765,145,Kalimpong,Mountainous Soil,Strawberries
24,9,19,5.3,87,23,1755,85,Kalimpong,Mountainous Soil,Strawberries
34,19,29,5.7,83,27,1825,165,Kalimpong,Mountainous Soil,Strawberries
30,15,25,5.5,82,25,1780,120,Kalimpong,Mountainous Soil,Strawberries
28,12,22,5.4,80,24,1800,100,Kalimpong,Mountainous Soil,Strawberries
32,18,28,5.6,85,26,1760,140,Kalimpong,Mountainous Soil,Strawberries
25,10,20,5.3,87,23,1750,80,Kalimpong,Mountainous Soil,Strawberries
35,20,30,5.7,83,27,1820,160,Kalimpong,Mountainous Soil,Strawberries
29,14,24,5.5,82,25,1785,125,Kalimpong,Mountainous Soil,Strawberries
27,11,21,5.4,80,24,1805,105,Kalimpong,Mountainous Soil,Strawberries
31,17,27,5.6,85,26,1765,145,Kalimpong,Mountainous Soil,Strawberries
24,9,19,5.3,87,23,1755,85,Kalimpong,Mountainous Soil,Strawberries
34,19,29,5.7,83,27,1825,165,Kalimpong,Mountainous Soil,Strawberries
30,15,25,5.5,82,25,1780,120,Kalimpong,Mountainous Soil,Strawberries
28,12,22,5.4,80,24,1800,100,Kalimpong,Mountainous Soil,Strawberries
32,18,28,5.6,85,26,1760,140,Kalimpong,Mountainous Soil,Strawberries
25,10,20,5.3,87,23,1750,80,Kalimpong,Mountainous Soil,Strawberries
35,20,30,5.7,83,27,1820,160,Kalimpong,Mountainous Soil,Strawberries
29,14,24,5.5,82,25,1785,125,Kalimpong,Mountainous Soil,Strawberries
27,11,21,5.4,80,24,1805,105,Kalimpong,Mountainous Soil,Strawberries
31,17,27,5.6,85,26,1765,145,Kalimpong,Mountainous Soil,Strawberries
24,9,19,5.3,87,23,1755,85,Kalimpong,Mountainous Soil,Strawberries
34,19,29,5.7,83,27,1825,165,Kalimpong,Mountainous Soil,Strawberries
40,25,35,5.5,82,25,1780,250,Kalimpong,Mountainous Soil,Broccoli and Cabbage
38,22,32,5.4,80,24,1800,230,Kalimpong,Mountainous Soil,Broccoli and Cabbage
42,28,38,5.6,85,26,1760,270,Kalimpong,Mountainous Soil,Broccoli and Cabbage
35,20,30,5.3,87,23,1750,220,Kalimpong,Mountainous Soil,Broccoli and Cabbage
45,30,40,5.7,83,27,1820,300,Kalimpong,Mountainous Soil,Broccoli and Cabbage
39,24,34,5.5,82,25,1785,255,Kalimpong,Mountainous Soil,Broccoli and Cabbage
37,20,30,5.4,80,24,1805,235,Kalimpong,Mountainous Soil,Broccoli and Cabbage
41,26,36,5.6,85,26,1765,275,Kalimpong,Mountainous Soil,Broccoli and Cabbage
34,18,28,5.3,87,23,1755,225,Kalimpong,Mountainous Soil,Broccoli and Cabbage
44,28,38,5.7,83,27,1825,305,Kalimpong,Mountainous Soil,Broccoli and Cabbage
40,25,35,5.5,82,25,1780,250,Kalimpong,Mountainous Soil,Broccoli and Cabbage
38,22,32,5.4,80,24,1800,230,Kalimpong,Mountainous Soil,Broccoli and Cabbage
42,28,38,5.6,85,26,1760,270,Kalimpong,Mountainous Soil,Broccoli and Cabbage
35,20,30,5.3,87,23,1750,220,Kalimpong,Mountainous Soil,Broccoli and Cabbage
45,30,40,5.7,83,27,1820,300,Kalimpong,Mountainous Soil,Broccoli and Cabbage
39,24,34,5.5,82,25,1785,255,Kalimpong,Mountainous Soil,Broccoli and Cabbage
37,20,30,5.4,80,24,1805,235,Kalimpong,Mountainous Soil,Broccoli and Cabbage
41,26,36,5.6,85,26,1765,275,Kalimpong,Mountainous Soil,Broccoli and Cabbage
34,18,28,5.3,87,23,1755,225,Kalimpong,Mountainous Soil,Broccoli and Cabbage
44,28,38,5.7,83,27,1825,305,Kalimpong,Mountainous Soil,Broccoli and Cabbage
38,22,32,5.4,80,24,1800,230,Kalimpong,Mountainous Soil,Broccoli and Cabbage
42,28,38,5.6,85,26,1760,270,Kalimpong,Mountainous Soil,Broccoli and Cabbage
35,20,30,5.3,87,23,1750,220,Kalimpong,Mountainous Soil,Broccoli and Cabbage
45,30,40,5.7,83,27,1820,300,Kalimpong,Mountainous Soil,Broccoli and Cabbage
39,24,34,5.5,82,25,1785,255,Kalimpong,Mountainous Soil,Broccoli and Cabbage
37,20,30,5.4,80,24,1805,235,Kalimpong,Mountainous Soil,Broccoli and Cabbage
41,26,36,5.6,85,26,1765,275,Kalimpong,Mountainous Soil,Broccoli and Cabbage
34,18,28,5.3,87,23,1755,225,Kalimpong,Mountainous Soil,Broccoli and Cabbage
44,28,38,5.7,83,27,1825,305,Kalimpong,Mountainous Soil,Broccoli and Cabbage
40,25,35,5.5,82,25,1780,250,Kalimpong,Mountainous Soil,Broccoli and Cabbage
38,22,32,5.4,80,24,1800,230,Kalimpong,Mountainous Soil,Broccoli and Cabbage
42,28,38,5.6,85,26,1760,270,Kalimpong,Mountainous Soil,Broccoli and Cabbage
35,20,30,5.3,87,23,1750,220,Kalimpong,Mountainous Soil,Broccoli and Cabbage
45,30,40,5.7,83,27,1820,300,Kalimpong,Mountainous Soil,Broccoli and Cabbage
39,24,34,5.5,82,25,1785,255,Kalimpong,Mountainous Soil,Broccoli and Cabbage
37,20,30,5.4,80,24,1805,235,Kalimpong,Mountainous Soil,Broccoli and Cabbage
41,26,36,5.6,85,26,1765,275,Kalimpong,Mountainous Soil,Broccoli and Cabbage
34,18,28,5.3,87,23,1755,225,Kalimpong,Mountainous Soil,Broccoli and Cabbage
44,28,38,5.7,83,27,1825,305,Kalimpong,Mountainous Soil,Broccoli and Cabbage
55,33,47,5.4,81,25,1775,775,Kalimpong,Mountainous Soil,Kiwi
59,36,43,5.6,84,26,1790,800,Kalimpong,Mountainous Soil,Kiwi
57,34,45,5.5,83,25,1785,785,Kalimpong,Mountainous Soil,Kiwi
61,39,49,5.7,86,27,1805,820,Kalimpong,Mountainous Soil,Kiwi
54,31,46,5.3,80,24,1765,750,Kalimpong,Mountainous Soil,Kiwi
58,38,41,5.9,85,28,1810,830,Kalimpong,Mountainous Soil,Kiwi
53,35,48,5.8,82,26,1795,810,Kalimpong,Mountainous Soil,Kiwi
56,32,44,5.4,81,25,1780,780,Kalimpong,Mountainous Soil,Kiwi
60,40,50,5.6,84,27,1800,825,Kalimpong,Mountainous Soil,Kiwi
52,30,42,5.2,79,23,1755,730,Kalimpong,Mountainous Soil,Kiwi
60,35,45,5.5,82,25,1780,800,Kalimpong,Mountainous Soil,Kiwi
58,32,42,5.4,80,24,1800,750,Kalimpong,Mountainous Soil,Kiwi
62,38,48,5.6,85,26,1760,850,Kalimpong,Mountainous Soil,Kiwi
55,30,40,5.3,87,23,1750,700,Kalimpong,Mountainous Soil,Kiwi
65,40,50,5.7,83,27,1820,900,Kalimpong,Mountainous Soil,Kiwi
58,34,46,5.5,82,25,1785,825,Kalimpong,Mountainous Soil,Kiwi
56,31,43,5.4,80,24,1805,775,Kalimpong,Mountainous Soil,Kiwi
60,37,49,5.6,85,26,1765,875,Kalimpong,Mountainous Soil,Kiwi
53,29,39,5.3,87,23,1755,725,Kalimpong,Mountainous Soil,Kiwi
63,41,51,5.7,83,27,1825,925,Kalimpong,Mountainous Soil,Kiwi
58,36,48,5.5,82,25,1780,790,Kalimpong,Mountainous Soil,Kiwi
62,40,52,5.7,85,26,1765,810,Kalimpong,Mountainous Soil,Kiwi
55,34,46,5.4,80,24,1800,780,Kalimpong,Mountainous Soil,Kiwi
59,38,50,5.6,83,27,1775,800,Kalimpong,Mountainous Soil,Kiwi
57,35,49,5.3,81,23,1790,770,Kalimpong,Mountainous Soil,Kiwi
61,39,51,5.8,84,28,1755,820,Kalimpong,Mountainous Soil,Kiwi
53,32,44,5.2,79,25,1810,750,Kalimpong,Mountainous Soil,Kiwi
56,33,45,5.9,82,26,1795,780,Kalimpong,Mountainous Soil,Kiwi
60,41,53,5.6,84,27,1805,830,Kalimpong,Mountainous Soil,Kiwi
52,31,43,5.4,79,24,1760,720,Kalimpong,Mountainous Soil,Kiwi
81,47,61,5.4,81,24,1790,1150,Kalimpong,Mountainous Soil,Orange
79,44,59,5.3,79,23,1810,1050,Kalimpong,Mountainous Soil,Orange
83,49,63,5.5,84,25,1775,1250,Kalimpong,Mountainous Soil,Orange
76,41,56,5.2,86,22,1760,950,Kalimpong,Mountainous Soil,Orange
86,51,66,5.6,84,26,1830,1350,Kalimpong,Mountainous Soil,Orange
80,45,60,5.5,82,25,1780,1200,Kalimpong,Mountainous Soil,Orange
78,42,58,5.4,80,24,1800,1100,Kalimpong,Mountainous Soil,Orange
82,48,62,5.6,85,26,1760,1300,Kalimpong,Mountainous Soil,Orange
75,40,55,5.3,87,23,1750,1000,Kalimpong,Mountainous Soil,Orange
85,50,65,5.7,83,27,1820,1400,Kalimpong,Mountainous Soil,Orange
79,43,59,5.5,81,24.5,1790,1150,Kalimpong,Mountainous Soil,Orange
77,44,61,5.6,84,25.5,1770,1250,Kalimpong,Mountainous Soil,Orange
81,46,63,5.4,79,23.5,1810,1050,Kalimpong,Mountainous Soil,Orange
76,41,56,5.2,86,22.5,1740,950,Kalimpong,Mountainous Soil,Orange
84,49,64,5.8,88,28,1830,1450,Kalimpong,Mountainous Soil,Orange
83,47,61,5.6,82,25.5,1805,1225,Kalimpong,Mountainous Soil,Orange
77,46,59,5.4,83,24.5,1795,1175,Kalimpong,Mountainous Soil,Orange
80,43,63,5.5,79,26,1775,1350,Kalimpong,Mountainous Soil,Orange
78,45,61,5.6,86,27,1755,1250,Kalimpong,Mountainous Soil,Orange
82,41,59,5.3,80,25,1825,1050,Kalimpong,Mountainous Soil,Orange
75,48,65,5.7,87,26.5,1815,1325,Kalimpong,Mountainous Soil,Orange
85,42,60,5.4,84,24.5,1785,1125,Kalimpong,Mountainous Soil,Orange
79,46,62,5.5,81,26.5,1765,1275,Kalimpong,Mountainous Soil,Orange
77,44,58,5.6,85,25,1745,1175,Kalimpong,Mountainous Soil,Orange
81,42,64,5.3,83,26,1835,1075,Kalimpong,Mountainous Soil,Orange
76,47,60,5.7,78,25.5,1820,1375,Kalimpong,Mountainous Soil,Orange
84,43,58,5.4,86,24.5,1790,1200,Kalimpong,Mountainous Soil,Orange
83,45,62,5.6,88,26,1770,1300,Kalimpong,Mountainous Soil,Orange
79,41,60,5.5,80,25.5,1750,1100,Kalimpong,Mountainous Soil,Orange
77,47,64,5.4,82,26.5,1830,1200,Kalimpong,Mountainous Soil,Orange
81,45,58,5.6,79,24,1810,1150,Kalimpong,Mountainous Soil,Orange
76,43,62,5.5,86,25,1790,1250,Kalimpong,Mountainous Soil,Orange
84,47,60,5.3,87,26.5,1775,1350,Kalimpong,Mountainous Soil,Orange
83,43,64,5.7,81,27,1825,1400,Kalimpong,Mountainous Soil,Orange
79,45,58,5.4,85,24.5,1805,1225,Kalimpong,Mountainous Soil,Orange
77,41,62,5.6,83,26,1785,1125,Kalimpong,Mountainous Soil,Orange
81,47,60,5.5,79,25.5,1765,1275,Kalimpong,Mountainous Soil,Orange
76,45,64,5.4,85,24,1745,1175,Kalimpong,Mountainous Soil,Orange
84,41,60,5.6,82,25,1835,1075,Kalimpong,Mountainous Soil,Orange
83,47,62,5.5,80,25.5,1820,1375,Kalimpong,Mountainous Soil,Orange
79,43,58,5.4,86,26.5,1790,1200,Kalimpong,Mountainous Soil,Orange
77,45,62,5.6,84,27,1770,1300,Kalimpong,Mountainous Soil,Orange
81,41,60,5.3,88,25,1750,1100,Kalimpong,Mountainous Soil,Orange
76,47,64,5.7,81,26.5,1830,1200,Kalimpong,Mountainous Soil,Orange
84,45,58,5.4,83,25,1810,1150,Kalimpong,Mountainous Soil,Orange
83,41,62,5.6,79,26,1790,1250,Kalimpong,Mountainous Soil,Orange
79,47,60,5.5,87,24.5,1775,1350,Kalimpong,Mountainous Soil,Orange
77,43,64,5.4,82,26.5,1755,1325,Kalimpong,Mountainous Soil,Orange
81,45,59,5.5,80,25,1835,1125,Kalimpong,Mountainous Soil,Orange
76,41,63,5.6,86,26,1820,1275,Kalimpong,Mountainous Soil,Orange
84,47,61,5.3,88,25.5,1800,1175,Kalimpong,Mountainous Soil,Orange
83,43,59,5.7,80,27,1780,1375,Kalimpong,Mountainous Soil,Orange
79,45,63,5.4,83,26.5,1760,1200,Kalimpong,Mountainous Soil,Orange
77,41,61,5.6,81,25,1740,1300,Kalimpong,Mountainous Soil,Orange
81,47,63,5.5,87,26.5,1825,1400,Kalimpong,Mountainous Soil,Orange
76,43,59,5.4,85,27,1805,1225,Kalimpong,Mountainous Soil,Orange
84,45,63,5.6,83,25,1785,1125,Kalimpong,Mountainous Soil,Orange
83,41,61,5.3,82,26,1765,1275,Kalimpong,Mountainous Soil,Orange
35,18,25,5.5,82,25,1780,15,Kalimpong,Mountainous Soil,Cardamom
32,16,22,5.4,80,24,1800,12,Kalimpong,Mountainous Soil,Cardamom
