N (kg/ha),P (kg/ha),K (kg/ha),pH,Humidity (%),Temperature (°C),Rainfall (mm),Crop Yield (kg/ha),District,Soil Type,Crop Name
45,20,35,6.9,89,24,1150,950,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Mustard
40,20,35,6.9,88,24,850,800,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Pigeon Pea
45,25,40,6.5,85,23,900,850,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Pigeon Pea
38,18,32,7.1,90,25,800,750,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Pigeon Pea
42,22,38,6.4,83,26,880,900,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Pigeon Pea
35,15,30,7.3,91,24,750,700,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Pigeon Pea
25,10,20,7.5,92,22,600,450,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Green Gram
28,12,22,7.4,91,21,650,500,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Green Gram
22,8,18,7.7,93,23,550,400,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Green Gram
30,15,25,7.2,89,20,700,550,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Green Gram
20,6,15,7.9,94,24,500,350,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Green Gram
22,10,18,7.8,93,23,600,400,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Black Gram
25,12,20,7.7,92,22,650,450,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Black Gram
20,8,15,8,94,24,550,350,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Black Gram
28,15,25,7.5,91,21,700,500,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Black Gram
18,6,12,8.2,95,25,500,300,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Black Gram
81,39,49,5.2,70,23,1755,1525,Cooch Behar,Sandy Soil,Pulses
86,43,53,5.3,72,24,1805,1585,Cooch Behar,Sandy Soil,Pulses
79,37,47,5.1,69,22,1685,1425,Cooch Behar,Sandy Soil,Pulses
91,45,55,5.4,73,25,1855,1665,Cooch Behar,Sandy Soil,Pulses
96,49,61,5.5,75,26,1925,1725,Cooch Behar,Sandy Soil,Pulses
82,40,50,5.2,71,23,1760,1530,Cooch Behar,Sandy Soil,Pulses
87,44,54,5.3,73,24,1810,1590,Cooch Behar,Sandy Soil,Pulses
80,38,48,5.1,70,22,1690,1430,Cooch Behar,Sandy Soil,Pulses
92,46,56,5.4,74,25,1860,1670,Cooch Behar,Sandy Soil,Pulses
97,50,62,5.6,76,27,1930,1730,Cooch Behar,Sandy Soil,Pulses
83,41,51,5.2,72,23,1765,1535,Cooch Behar,Sandy Soil,Pulses
88,45,55,5.3,74,25,1815,1595,Cooch Behar,Sandy Soil,Pulses
81,39,49,5.1,71,22,1695,1435,Cooch Behar,Sandy Soil,Pulses
93,47,57,5.5,73,25,1865,1675,Cooch Behar,Sandy Soil,Pulses
98,51,63,5.7,77,28,1945,1740,Cooch Behar,Sandy Soil,Pulses
84,40,50,5.3,70,23,1760,1525,Cooch Behar,Sandy Soil,Pulses
89,46,56,5.4,72,24,1810,1585,Cooch Behar,Sandy Soil,Pulses
82,39,49,5.2,69,22,1690,1435,Cooch Behar,Sandy Soil,Pulses
94,48,58,5.6,74,26,1870,1680,Cooch Behar,Sandy Soil,Pulses
99,52,64,5.8,78,29,1950,1750,Cooch Behar,Sandy Soil,Pulses
85,41,51,5.3,70,23,1765,1530,Cooch Behar,Sandy Soil,Pulses
90,46,56,5.4,72,24,1815,1595,Cooch Behar,Sandy Soil,Pulses
83,40,50,5.2,69,22,1695,1435,Cooch Behar,Sandy Soil,Pulses
95,49,59,5.6,75,26,1875,1685,Cooch Behar,Sandy Soil,Pulses
100,53,65,5.9,79,30,1955,1760,Cooch Behar,Sandy Soil,Pulses
86,42,52,5.3,71,23,1770,1540,Cooch Behar,Sandy Soil,Pulses
91,47,57,5.5,73,24,1820,1600,Cooch Behar,Sandy Soil,Pulses
84,39,49,5.2,70,22,1695,1435,Cooch Behar,Sandy Soil,Pulses
96,50,60,5.7,76,27,1880,1690,Cooch Behar,Sandy Soil,Pulses
101,54,66,6,80,31,1960,1770,Cooch Behar,Sandy Soil,Pulses
87,43,53,5.3,71,23,1775,1545,Cooch Behar,Sandy Soil,Pulses
92,48,58,5.5,73,25,1825,1605,Cooch Behar,Sandy Soil,Pulses
85,42,52,5.3,70,23,1775,1530,Cooch Behar,Sandy Soil,Pulses
97,51,61,5.7,76,27,1885,1695,Cooch Behar,Sandy Soil,Pulses
102,55,67,6.1,81,32,1965,1780,Cooch Behar,Sandy Soil,Pulses
88,44,54,5.4,72,24,1780,1550,Cooch Behar,Sandy Soil,Pulses
93,49,59,5.5,74,25,1830,1610,Cooch Behar,Sandy Soil,Pulses
86,41,51,5.3,71,23,1785,1545,Cooch Behar,Sandy Soil,Pulses
98,52,62,5.8,77,28,1890,1700,Cooch Behar,Sandy Soil,Pulses
103,56,68,6.2,82,33,1970,1790,Cooch Behar,Sandy Soil,Pulses
89,45,55,5.4,73,24,1785,1555,Cooch Behar,Sandy Soil,Pulses
94,50,60,5.6,74,26,1835,1615,Cooch Behar,Sandy Soil,Pulses
87,42,52,5.3,71,23,1790,1555,Cooch Behar,Sandy Soil,Pulses
99,53,63,5.9,78,29,1895,1705,Cooch Behar,Sandy Soil,Pulses
104,57,69,6.3,83,34,1975,1800,Cooch Behar,Sandy Soil,Pulses
91,44,60,6,80,27,1775,810,Bankura,Black Soil,Mango
96,49,66,6.1,79,28,1825,830,Bankura,Black Soil,Mango
89,43,59,6.2,82,25,1725,790,Bankura,Black Soil,Mango
93,47,63,5.9,81,24,1875,810,Bankura,Black Soil,Mango
99,51,69,6.3,78,26,1925,860,Bankura,Black Soil,Mango
90,45,62,6.1,80,27,1750,800,Bankura,Black Soil,Mango
95,48,65,6,79,28,1800,820,Bankura,Black Soil,Mango
88,42,58,6.2,82,25,1700,780,Bankura,Black Soil,Mango
92,46,62,5.9,81,24,1850,800,Bankura,Black Soil,Mango
98,50,68,6.3,78,26,1900,850,Bankura,Black Soil,Mango
91,44,60,6,80,27,1775,810,Bankura,Black Soil,Mango
96,49,66,6.1,79,28,1825,830,Bankura,Black Soil,Mango
89,43,59,6.2,82,25,1725,790,Bankura,Black Soil,Mango
93,47,63,5.9,81,24,1875,810,Bankura,Black Soil,Mango
99,51,69,6.3,78,26,1925,860,Bankura,Black Soil,Mango
90,45,62,6.1,80,27,1750,800,Bankura,Black Soil,Mango
95,48,65,6,79,28,1800,820,Bankura,Black Soil,Mango
88,42,58,6.2,82,25,1700,780,Bankura,Black Soil,Mango
92,46,62,5.9,81,24,1850,800,Bankura,Black Soil,Mango
98,50,68,6.3,78,26,1900,850,Bankura,Black Soil,Mango
91,44,60,6,80,27,1775,810,Bankura,Black Soil,Mango
96,49,66,6.1,79,28,1825,830,Bankura,Black Soil,Mango
89,43,59,6.2,82,25,1725,790,Bankura,Black Soil,Mango
93,47,63,5.9,81,24,1875,810,Bankura,Black Soil,Mango
99,51,69,6.3,78,26,1925,860,Bankura,Black Soil,Mango
90,45,62,6.1,80,27,1750,800,Bankura,Black Soil,Mango
95,48,65,6,79,28,1800,820,Bankura,Black Soil,Mango
88,42,58,6.2,82,25,1700,780,Bankura,Black Soil,Mango
92,46,62,5.9,81,24,1850,800,Bankura,Black Soil,Mango
98,50,68,6.3,78,26,1900,850,Bankura,Black Soil,Mango
91,44,60,6,80,27,1775,810,Bankura,Black Soil,Mango
96,49,66,6.1,79,28,1825,830,Bankura,Black Soil,Mango
89,43,59,6.2,82,25,1725,790,Bankura,Black Soil,Mango
93,47,63,5.9,81,24,1875,810,Bankura,Black Soil,Mango
99,51,69,6.3,78,26,1925,860,Bankura,Black Soil,Mango
90,45,62,6.1,80,27,1750,800,Bankura,Black Soil,Mango
95,48,65,6,79,28,1800,820,Bankura,Black Soil,Mango
88,42,58,6.2,82,25,1700,780,Bankura,Black Soil,Mango
92,46,62,5.9,81,24,1850,800,Bankura,Black Soil,Mango
98,50,68,6.3,78,26,1900,850,Bankura,Black Soil,Mango
91,44,60,6,80,27,1775,810,Bankura,Black Soil,Mango
96,49,66,6.1,79,28,1825,830,Bankura,Black Soil,Mango
89,43,59,6.2,82,25,1725,790,Bankura,Black Soil,Mango
93,47,63,5.9,81,24,1875,810,Bankura,Black Soil,Mango
99,51,69,6.3,78,26,1925,860,Bankura,Black Soil,Mango
90,45,62,6.1,80,27,1750,800,Bankura,Black Soil,Mango
95,48,65,6,79,28,1800,820,Bankura,Black Soil,Mango
88,42,58,6.2,82,25,1700,780,Bankura,Black Soil,Mango
92,46,62,5.9,81,24,1850,800,Bankura,Black Soil,Mango
98,50,68,6.3,78,26,1900,850,Bankura,Black Soil,Mango
118,59,79,5.8,82,26,1855,1760,Bankura,Black Soil,Potato
112,56,76,5.7,81,25,1825,1690,Bankura,Black Soil,Potato
123,61,83,6,80,23,1905,1810,Bankura,Black Soil,Potato
107,53,73,5.9,83,24,1755,1630,Bankura,Black Soil,Potato
117,58,78,5.6,85,26,1885,1710,Bankura,Black Soil,Potato
120,60,80,5.8,82,26,1850,1750,Bankura,Black Soil,Potato
110,55,75,5.7,81,25,1820,1680,Bankura,Black Soil,Potato
125,62,85,6,80,23,1900,1800,Bankura,Black Soil,Potato
105,52,72,5.9,83,24,1750,1620,Bankura,Black Soil,Potato
115,58,78,5.6,85,26,1880,1700,Bankura,Black Soil,Potato
118,59,79,5.8,82,26,1855,1760,Bankura,Black Soil,Potato
112,56,76,5.7,81,25,1825,1690,Bankura,Black Soil,Potato
123,61,83,6,80,23,1905,1810,Bankura,Black Soil,Potato
107,53,73,5.9,83,24,1755,1630,Bankura,Black Soil,Potato
117,58,78,5.6,85,26,1885,1710,Bankura,Black Soil,Potato
120,60,80,5.8,82,26,1850,1750,Bankura,Black Soil,Potato
110,55,75,5.7,81,25,1820,1680,Bankura,Black Soil,Potato
125,62,85,6,80,23,1900,1800,Bankura,Black Soil,Potato
105,52,72,5.9,83,24,1750,1620,Bankura,Black Soil,Potato
115,58,78,5.6,85,26,1880,1700,Bankura,Black Soil,Potato
118,59,79,5.8,82,26,1855,1760,Bankura,Black Soil,Potato
112,56,76,5.7,81,25,1825,1690,Bankura,Black Soil,Potato
123,61,83,6,80,23,1905,1810,Bankura,Black Soil,Potato
107,53,73,5.9,83,24,1755,1630,Bankura,Black Soil,Potato
117,58,78,5.6,85,26,1885,1710,Bankura,Black Soil,Potato
120,60,80,5.8,82,26,1850,1750,Bankura,Black Soil,Potato
110,55,75,5.7,81,25,1820,1680,Bankura,Black Soil,Potato
125,62,85,6,80,23,1900,1800,Bankura,Black Soil,Potato
105,52,72,5.9,83,24,1750,1620,Bankura,Black Soil,Potato
115,58,78,5.6,85,26,1880,1700,Bankura,Black Soil,Potato
118,59,79,5.8,82,26,1855,1760,Bankura,Black Soil,Potato
112,56,76,5.7,81,25,1825,1690,Bankura,Black Soil,Potato
123,61,83,6,80,23,1905,1810,Bankura,Black Soil,Potato
107,53,73,5.9,83,24,1755,1630,Bankura,Black Soil,Potato
117,58,78,5.6,85,26,1885,1710,Bankura,Black Soil,Potato
120,60,80,5.8,82,26,1850,1750,Bankura,Black Soil,Potato
110,55,75,5.7,81,25,1820,1680,Bankura,Black Soil,Potato
125,62,85,6,80,23,1900,1800,Bankura,Black Soil,Potato
105,52,72,5.9,83,24,1750,1620,Bankura,Black Soil,Potato
115,58,78,5.6,85,26,1880,1700,Bankura,Black Soil,Potato
118,59,79,5.8,82,26,1855,1760,Bankura,Black Soil,Potato
112,56,76,5.7,81,25,1825,1690,Bankura,Black Soil,Potato
123,61,83,6,80,23,1905,1810,Bankura,Black Soil,Potato
107,53,73,5.9,83,24,1755,1630,Bankura,Black Soil,Potato
117,58,78,5.6,85,26,1885,1710,Bankura,Black Soil,Potato
120,60,80,5.8,82,26,1850,1750,Bankura,Black Soil,Potato
110,55,75,5.7,81,25,1820,1680,Bankura,Black Soil,Potato
125,62,85,6,80,23,1900,1800,Bankura,Black Soil,Potato
105,52,72,5.9,83,24,1750,1620,Bankura,Black Soil,Potato
115,58,78,5.6,85,26,1880,1700,Bankura,Black Soil,Potato
56,29,39,6.9,70,26,1510,1110,Bankura,Black Soil,Oilseeds
59,31,41,7.1,68,27,1560,1160,Bankura,Black Soil,Oilseeds
53,27,37,6.7,72,25,1460,1060,Bankura,Black Soil,Oilseeds
61,33,43,7.3,66,28,1610,1210,Bankura,Black Soil,Oilseeds
66,36,47,7.6,64,30,1660,1260,Bankura,Black Soil,Oilseeds
57,30,40,7,70,26,1520,1120,Bankura,Black Soil,Oilseeds
60,32,42,7.2,68,27,1570,1170,Bankura,Black Soil,Oilseeds
54,28,38,6.8,72,25,1470,1070,Bankura,Black Soil,Oilseeds
62,34,44,7.4,66,28,1620,1220,Bankura,Black Soil,Oilseeds
67,37,48,7.7,64,30,1670,1270,Bankura,Black Soil,Oilseeds
58,31,41,7,70,26,1530,1130,Bankura,Black Soil,Oilseeds
61,33,43,7.2,68,27,1580,1180,Bankura,Black Soil,Oilseeds
55,29,39,6.9,72,25,1480,1080,Bankura,Black Soil,Oilseeds
63,35,45,7.5,66,28,1630,1230,Bankura,Black Soil,Oilseeds
68,38,49,7.8,64,30,1680,1280,Bankura,Black Soil,Oilseeds
59,32,42,7.1,70,26,1540,1140,Bankura,Black Soil,Oilseeds
62,34,44,7.3,68,27,1590,1190,Bankura,Black Soil,Oilseeds
56,30,40,7,72,25,1490,1090,Bankura,Black Soil,Oilseeds
64,36,46,7.6,66,28,1640,1240,Bankura,Black Soil,Oilseeds
69,39,50,7.9,64,30,1690,1290,Bankura,Black Soil,Oilseeds
57,31,41,7,70,26,1525,1125,Bankura,Black Soil,Oilseeds
60,33,43,7.2,68,27,1575,1175,Bankura,Black Soil,Oilseeds
54,29,39,6.8,72,25,1475,1075,Bankura,Black Soil,Oilseeds
62,35,45,7.4,66,28,1625,1225,Bankura,Black Soil,Oilseeds
67,38,48,7.7,64,30,1675,1275,Bankura,Black Soil,Oilseeds
58,32,42,7.1,70,26,1535,1135,Bankura,Black Soil,Oilseeds
61,34,44,7.3,68,27,1585,1185,Bankura,Black Soil,Oilseeds
55,30,40,6.9,72,25,1485,1085,Bankura,Black Soil,Oilseeds
63,36,46,7.5,66,28,1635,1235,Bankura,Black Soil,Oilseeds
68,39,49,7.8,64,30,1685,1285,Bankura,Black Soil,Oilseeds
59,33,43,7.1,70,26,1545,1145,Bankura,Black Soil,Oilseeds
62,35,45,7.3,68,27,1595,1195,Bankura,Black Soil,Oilseeds
56,31,41,7,72,25,1495,1095,Bankura,Black Soil,Oilseeds
64,37,47,7.6,66,28,1645,1245,Bankura,Black Soil,Oilseeds
69,40,51,7.9,64,30,1695,1295,Bankura,Black Soil,Oilseeds
57,32,42,7,70,26,1530,1130,Bankura,Black Soil,Oilseeds
60,34,44,7.2,68,27,1580,1180,Bankura,Black Soil,Oilseeds
54,30,40,6.8,72,25,1480,1080,Bankura,Black Soil,Oilseeds
62,36,46,7.4,66,28,1630,1230,Bankura,Black Soil,Oilseeds
67,39,49,7.7,64,30,1680,1280,Bankura,Black Soil,Oilseeds
58,33,43,7.1,70,26,1540,1140,Bankura,Black Soil,Oilseeds
61,35,45,7.3,68,27,1590,1190,Bankura,Black Soil,Oilseeds
55,31,41,6.9,72,25,1490,1090,Bankura,Black Soil,Oilseeds
63,37,47,7.5,66,28,1640,1240,Bankura,Black Soil,Oilseeds
68,40,50,7.8,64,30,1690,1290,Bankura,Black Soil,Oilseeds
51,25,36,6,79,25,1610,910,Howrah,Alluvial Soil,Maize
49,24,33,5.9,80,24,1510,860,Howrah,Alluvial Soil,Maize
53,26,39,6.3,76,26,1710,960,Howrah,Alluvial Soil,Maize
46,23,31,5.7,82,23,1410,810,Howrah,Alluvial Soil,Maize
56,29,41,6.4,75,27,1810,1060,Howrah,Alluvial Soil,Maize
50,25,35,5.9,79,25,1605,905,Howrah,Alluvial Soil,Maize
48,24,32,5.8,80,24,1505,855,Howrah,Alluvial Soil,Maize
52,26,38,6.2,76,26,1705,955,Howrah,Alluvial Soil,Maize
45,22,30,5.6,82,23,1405,805,Howrah,Alluvial Soil,Maize
55,28,40,6.3,75,27,1805,1055,Howrah,Alluvial Soil,Maize
51,25,36,6,79,25,1615,915,Howrah,Alluvial Soil,Maize
49,24,33,5.9,80,24,1515,865,Howrah,Alluvial Soil,Maize
53,26,39,6.3,76,26,1715,965,Howrah,Alluvial Soil,Maize
46,23,31,5.7,82,23,1415,815,Howrah,Alluvial Soil,Maize
56,29,41,6.4,75,27,1815,1065,Howrah,Alluvial Soil,Maize
50,25,35,5.9,79,25,1610,910,Howrah,Alluvial Soil,Maize
48,24,32,5.8,80,24,1510,860,Howrah,Alluvial Soil,Maize
52,26,38,6.2,76,26,1710,960,Howrah,Alluvial Soil,Maize
45,22,30,5.6,82,23,1410,810,Howrah,Alluvial Soil,Maize
55,28,40,6.3,75,27,1810,1060,Howrah,Alluvial Soil,Maize
51,25,36,6,79,25,1615,915,Howrah,Alluvial Soil,Maize
49,24,33,5.9,80,24,1515,865,Howrah,Alluvial Soil,Maize
53,26,39,6.3,76,26,1715,965,Howrah,Alluvial Soil,Maize
46,23,31,5.7,82,23,1415,815,Howrah,Alluvial Soil,Maize
56,29,41,6.4,75,27,1815,1065,Howrah,Alluvial Soil,Maize
50,25,35,5.9,79,25,1610,910,Howrah,Alluvial Soil,Maize
48,24,32,5.8,80,24,1510,860,Howrah,Alluvial Soil,Maize
52,26,38,6.2,76,26,1710,960,Howrah,Alluvial Soil,Maize
45,22,30,5.6,82,23,1410,810,Howrah,Alluvial Soil,Maize
55,28,40,6.3,75,27,1810,1060,Howrah,Alluvial Soil,Maize
51,25,36,6,79,25,1615,915,Howrah,Alluvial Soil,Maize
49,24,33,5.9,80,24,1515,865,Howrah,Alluvial Soil,Maize
53,26,39,6.3,76,26,1715,965,Howrah,Alluvial Soil,Maize
46,23,31,5.7,82,23,1415,815,Howrah,Alluvial Soil,Maize
56,29,41,6.4,75,27,1815,1065,Howrah,Alluvial Soil,Maize
50,25,35,5.9,79,25,1610,910,Howrah,Alluvial Soil,Maize
48,24,32,5.8,80,24,1510,860,Howrah,Alluvial Soil,Maize
52,26,38,6.2,76,26,1710,960,Howrah,Alluvial Soil,Maize
45,22,30,5.6,82,23,1410,810,Howrah,Alluvial Soil,Maize
55,28,40,6.3,75,27,1810,1060,Howrah,Alluvial Soil,Maize
51,25,36,6,79,25,1615,915,Howrah,Alluvial Soil,Maize
49,24,33,5.9,80,24,1515,865,Howrah,Alluvial Soil,Maize
53,26,39,6.3,76,26,1715,965,Howrah,Alluvial Soil,Maize
46,23,31,5.7,82,23,1415,815,Howrah,Alluvial Soil,Maize
56,29,41,6.4,75,27,1815,1065,Howrah,Alluvial Soil,Maize
50,25,35,5.9,79,25,1610,910,Howrah,Alluvial Soil,Maize
48,24,32,5.8,80,24,1510,860,Howrah,Alluvial Soil,Maize
52,26,38,6.2,76,26,1710,960,Howrah,Alluvial Soil,Maize
45,22,30,5.6,82,23,1410,810,Howrah,Alluvial Soil,Maize
55,28,40,6.3,75,27,1810,1060,Howrah,Alluvial Soil,Maize
51,25,36,6,79,25,1615,915,Howrah,Alluvial Soil,Maize
49,24,33,5.9,80,24,1515,865,Howrah,Alluvial Soil,Maize
53,26,39,6.3,76,26,1715,965,Howrah,Alluvial Soil,Maize
46,23,31,5.7,82,23,1415,815,Howrah,Alluvial Soil,Maize
56,29,41,6.4,75,27,1815,1065,Howrah,Alluvial Soil,Maize
50,25,35,5.9,79,25,1610,910,Howrah,Alluvial Soil,Maize
48,24,32,5.8,80,24,1510,860,Howrah,Alluvial Soil,Maize
52,26,38,6.2,76,26,1710,960,Howrah,Alluvial Soil,Maize
45,22,30,5.6,82,23,1410,810,Howrah,Alluvial Soil,Maize
55,28,40,6.3,75,27,1810,1060,Howrah,Alluvial Soil,Maize
31,15,23,5.8,80,24,1310,410,Howrah,Alluvial Soil,Pulses
29,14,21,5.6,82,23,1210,390,Howrah,Alluvial Soil,Pulses
33,16,25,6.1,77,26,1410,460,Howrah,Alluvial Soil,Pulses
27,13,19,5.5,83,22,1110,360,Howrah,Alluvial Soil,Pulses
36,18,29,6.3,75,27,1510,510,Howrah,Alluvial Soil,Pulses
30,15,22,5.7,80,24,1305,405,Howrah,Alluvial Soil,Pulses
28,14,20,5.5,82,23,1205,385,Howrah,Alluvial Soil,Pulses
32,16,24,6,77,26,1405,455,Howrah,Alluvial Soil,Pulses
26,13,18,5.4,83,22,1105,355,Howrah,Alluvial Soil,Pulses
35,18,28,6.2,75,27,1505,505,Howrah,Alluvial Soil,Pulses
31,15,23,5.8,80,24,1315,415,Howrah,Alluvial Soil,Pulses
29,14,21,5.6,82,23,1215,395,Howrah,Alluvial Soil,Pulses
33,16,25,6.1,77,26,1415,465,Howrah,Alluvial Soil,Pulses
27,13,19,5.5,83,22,1115,365,Howrah,Alluvial Soil,Pulses
36,18,29,6.3,75,27,1515,515,Howrah,Alluvial Soil,Pulses
30,15,22,5.7,80,24,1310,410,Howrah,Alluvial Soil,Pulses
28,14,20,5.5,82,23,1210,390,Howrah,Alluvial Soil,Pulses
32,16,24,6,77,26,1410,460,Howrah,Alluvial Soil,Pulses
26,13,18,5.4,83,22,1110,360,Howrah,Alluvial Soil,Pulses
35,18,28,6.2,75,27,1510,510,Howrah,Alluvial Soil,Pulses
31,15,23,5.8,80,24,1320,420,Howrah,Alluvial Soil,Pulses
29,14,21,5.6,82,23,1220,400,Howrah,Alluvial Soil,Pulses
33,16,25,6.1,77,26,1420,470,Howrah,Alluvial Soil,Pulses
27,13,19,5.5,83,22,1120,370,Howrah,Alluvial Soil,Pulses
36,18,29,6.3,75,27,1520,520,Howrah,Alluvial Soil,Pulses
30,15,22,5.7,80,24,1305,405,Howrah,Alluvial Soil,Pulses
28,14,20,5.5,82,23,1205,385,Howrah,Alluvial Soil,Pulses
32,16,24,6,77,26,1405,455,Howrah,Alluvial Soil,Pulses
26,13,18,5.4,83,22,1105,355,Howrah,Alluvial Soil,Pulses
35,18,28,6.2,75,27,1505,505,Howrah,Alluvial Soil,Pulses
31,15,23,5.8,80,24,1315,415,Howrah,Alluvial Soil,Pulses
29,14,21,5.6,82,23,1215,395,Howrah,Alluvial Soil,Pulses
33,16,25,6.1,77,26,1415,465,Howrah,Alluvial Soil,Pulses
27,13,19,5.5,83,22,1115,365,Howrah,Alluvial Soil,Pulses
36,18,29,6.3,75,27,1515,515,Howrah,Alluvial Soil,Pulses
41,20,31,5.6,81,23,1210,510,Howrah,Alluvial Soil,Mustard
39,19,29,5.7,80,24,1310,490,Howrah,Alluvial Soil,Mustard
43,21,33,5.9,78,25,1410,560,Howrah,Alluvial Soil,Mustard
37,18,27,5.4,82,22,1110,460,Howrah,Alluvial Soil,Mustard
46,22,36,6.1,77,26,1510,610,Howrah,Alluvial Soil,Mustard
40,20,30,5.5,81,23,1205,505,Howrah,Alluvial Soil,Mustard
38,19,28,5.6,80,24,1305,485,Howrah,Alluvial Soil,Mustard
42,21,32,5.8,78,25,1405,555,Howrah,Alluvial Soil,Mustard
36,18,26,5.3,82,22,1105,455,Howrah,Alluvial Soil,Mustard
45,22,35,6,77,26,1505,605,Howrah,Alluvial Soil,Mustard
41,20,31,5.6,81,23,1215,515,Howrah,Alluvial Soil,Mustard
39,19,29,5.7,80,24,1315,495,Howrah,Alluvial Soil,Mustard
43,21,33,5.9,78,25,1415,565,Howrah,Alluvial Soil,Mustard
37,18,27,5.4,82,22,1115,465,Howrah,Alluvial Soil,Mustard
46,22,36,6.1,77,26,1515,615,Howrah,Alluvial Soil,Mustard
40,20,30,5.5,81,23,1210,510,Howrah,Alluvial Soil,Mustard
38,19,28,5.6,80,24,1310,490,Howrah,Alluvial Soil,Mustard
42,21,32,5.8,78,25,1410,560,Howrah,Alluvial Soil,Mustard
36,18,26,5.3,82,22,1110,460,Howrah,Alluvial Soil,Mustard
45,22,35,6,77,26,1510,610,Howrah,Alluvial Soil,Mustard
41,20,31,5.6,81,23,1215,515,Howrah,Alluvial Soil,Mustard
39,19,29,5.7,80,24,1315,495,Howrah,Alluvial Soil,Mustard
43,21,33,5.9,78,25,1415,565,Howrah,Alluvial Soil,Mustard
37,18,27,5.4,82,22,1115,465,Howrah,Alluvial Soil,Mustard
46,22,36,6.1,77,26,1515,615,Howrah,Alluvial Soil,Mustard
41,20,31,5.6,81,23,1210,510,Howrah,Alluvial Soil,Mustard
39,19,29,5.7,80,24,1310,490,Howrah,Alluvial Soil,Mustard
43,21,33,5.9,78,25,1410,560,Howrah,Alluvial Soil,Mustard
37,18,27,5.4,82,22,1110,460,Howrah,Alluvial Soil,Mustard
46,22,36,6.1,77,26,1510,610,Howrah,Alluvial Soil,Mustard
87,43,59,6.1,78,25,1610,1910,Howrah,Alluvial Soil,Wheat
82,41,56,5.9,80,24,1510,1810,Howrah,Alluvial Soil,Wheat
92,46,61,6.3,76,26,1710,2010,Howrah,Alluvial Soil,Wheat
77,39,53,5.6,82,23,1410,1710,Howrah,Alluvial Soil,Wheat
97,49,66,6.4,75,27,1810,2110,Howrah,Alluvial Soil,Wheat
86,42,58,6,78,25,1605,1905,Howrah,Alluvial Soil,Wheat
81,40,55,5.8,80,24,1505,1805,Howrah,Alluvial Soil,Wheat
91,45,60,6.2,76,26,1705,2005,Howrah,Alluvial Soil,Wheat
76,38,52,5.5,82,23,1405,1705,Howrah,Alluvial Soil,Wheat
96,48,65,6.3,75,27,1805,2105,Howrah,Alluvial Soil,Wheat
85,42,58,6,78,25,1605,1905,Howrah,Alluvial Soil,Wheat
80,40,55,5.8,80,24,1505,1805,Howrah,Alluvial Soil,Wheat
90,45,60,6.2,76,26,1705,2005,Howrah,Alluvial Soil,Wheat
75,38,52,5.5,82,23,1405,1705,Howrah,Alluvial Soil,Wheat
95,48,65,6.3,75,27,1805,2105,Howrah,Alluvial Soil,Wheat
88,44,60,6.1,78,25,1615,1915,Howrah,Alluvial Soil,Wheat
83,41,57,5.9,80,24,1515,1815,Howrah,Alluvial Soil,Wheat
93,47,62,6.3,76,26,1715,2015,Howrah,Alluvial Soil,Wheat
78,39,54,5.6,82,23,1415,1715,Howrah,Alluvial Soil,Wheat
98,50,67,6.4,75,27,1815,2115,Howrah,Alluvial Soil,Wheat
87,43,59,6,78,25,1610,1910,Howrah,Alluvial Soil,Wheat
82,41,56,5.8,80,24,1510,1810,Howrah,Alluvial Soil,Wheat
92,46,61,6.2,76,26,1710,2010,Howrah,Alluvial Soil,Wheat
77,39,53,5.5,82,23,1410,1710,Howrah,Alluvial Soil,Wheat
97,49,66,6.3,75,27,1810,2110,Howrah,Alluvial Soil,Wheat
81,41,51,6,79,25,1610,910,Jhargram,Laterite Soil,Tapioca (Cassava)
79,39,49,5.9,80,24,1510,860,Jhargram,Laterite Soil,Tapioca (Cassava)
83,43,56,6.3,76,26,1710,1010,Jhargram,Laterite Soil,Tapioca (Cassava)
76,38,46,5.7,82,23,1410,810,Jhargram,Laterite Soil,Tapioca (Cassava)
86,44,61,6.4,75,27,1810,1110,Jhargram,Laterite Soil,Tapioca (Cassava)
80,40,50,5.9,79,25,1605,905,Jhargram,Laterite Soil,Tapioca (Cassava)
78,38,48,5.8,80,24,1505,855,Jhargram,Laterite Soil,Tapioca (Cassava)
82,42,55,6.2,76,26,1705,1005,Jhargram,Laterite Soil,Tapioca (Cassava)
75,37,45,5.6,82,23,1405,805,Jhargram,Laterite Soil,Tapioca (Cassava)
